Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
dinterdum-pretium-de-condimentus,,,,,,,,,Blue,,XL,,,"",0.0,shopify,65,deny,manual,189.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,Purple,,XS,,,"",0.0,shopify,44,deny,manual,189.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,Purple,,S,,,"",0.0,shopify,9,deny,manual,189.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,Purple,,M,,,"",0.0,shopify,0,deny,manual,189.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,Purple,,L,,,"",0.0,shopify,1,deny,manual,189.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,Purple,,XL,,,"",0.0,shopify,1,deny,manual,189.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,Purple,,2X,,,"",0.0,shopify,1,deny,manual,189.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,Black,,XS,,,"",0.0,shopify,9,deny,manual,299.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,Black,,S,,,"",0.0,shopify,5,deny,manual,299.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,Black,,M,,,"",0.0,shopify,5,deny,manual,299.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,Black,,L,,,"",0.0,shopify,6,deny,manual,299.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,Black,,XL,,,"",0.0,shopify,7,deny,manual,299.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
dinterdum-pretium-de-condimentus,,,,,,,,,Black,,2X,,,"",0.0,shopify,1,deny,manual,299.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
